viewpoint number: 19    information entropy: 3.9812    rank: 1
viewpoint number: 17    information entropy: 3.9708    rank: 2
viewpoint number: 9    information entropy: 3.9028    rank: 3
viewpoint number: 1    information entropy: 3.8938    rank: 4
viewpoint number: 3    information entropy: 3.8909    rank: 5
viewpoint number: 11    information entropy: 3.8892    rank: 6
viewpoint number: 18    information entropy: 3.7628    rank: 7
viewpoint number: 20    information entropy: 3.7624    rank: 8
viewpoint number: 4    information entropy: 3.6952    rank: 9
viewpoint number: 2    information entropy: 3.6949    rank: 10
viewpoint number: 7    information entropy: 3.6146    rank: 11
viewpoint number: 5    information entropy: 3.6046    rank: 12
viewpoint number: 10    information entropy: 3.5504    rank: 13
viewpoint number: 12    information entropy: 3.5474    rank: 14
viewpoint number: 8    information entropy: 3.4998    rank: 15
viewpoint number: 6    information entropy: 3.4956    rank: 16
viewpoint number: 13    information entropy: 3.3422    rank: 17
viewpoint number: 14    information entropy: 3.1700    rank: 18
viewpoint number: 16    information entropy: 3.1173    rank: 19
viewpoint number: 15    information entropy: 2.8804    rank: 20
